Starting Time, Stopping Time, Word
0:00:06.500000,0:00:06.680000,Let
0:00:06.680000,0:00:06.770000,IdleClips
0:00:06.680000,0:00:06.770000,me
0:00:06.770000,0:00:07.430000,IdleClips
0:00:06.770000,0:00:07.430000,express
0:00:07.430000,0:00:07.640000,IdleClips
0:00:07.430000,0:00:07.640000,my
0:00:07.640000,0:00:08.120000,IdleClips
0:00:07.640000,0:00:08.120000,deepest
0:00:08.120000,0:00:08.750000,IdleClips
0:00:08.120000,0:00:08.750000,gratitude
0:00:08.750000,0:00:09.650000,IdleClips
0:00:09.500000,0:00:09.650000,for
0:00:09.650000,0:00:09.740000,IdleClips
0:00:09.650000,0:00:09.740000,the
0:00:09.740000,0:00:10.190000,IdleClips
0:00:09.740000,0:00:10.190000,privilege
0:00:10.190000,0:00:10.280000,IdleClips
0:00:10.190000,0:00:10.280000,of
0:00:10.280000,0:00:10.760000,IdleClips
0:00:10.280000,0:00:10.760000,addressing
0:00:10.760000,0:00:10.910000,IdleClips
0:00:10.760000,0:00:10.910000,this
0:00:10.910000,0:00:11.450000,IdleClips
0:00:10.910000,0:00:11.450000,convention
0:00:11.450000,0:00:13.610000,IdleClips
0:00:13.280000,0:00:13.610000,tonight
0:00:13.610000,0:00:13.730000,IdleClips
0:00:13.610000,0:00:13.730000,as
0:00:13.730000,0:00:13.790000,IdleClips
0:00:13.730000,0:00:13.790000,a
0:00:13.790000,0:00:14.390000,IdleClips
0:00:13.790000,0:00:14.390000,particular
0:00:14.390000,0:00:14.750000,IdleClips
0:00:14.390000,0:00:14.750000,honor
0:00:14.750000,0:00:14.930000,IdleClips
0:00:14.750000,0:00:14.930000,for
0:00:14.930000,0:00:15.080000,IdleClips
0:00:14.930000,0:00:15.080000,me
0:00:15.080000,0:00:15.500000,IdleClips
0:00:15.080000,0:00:15.500000,because
0:00:15.500000,0:00:15.710000,IdleClips
0:00:15.500000,0:00:15.710000,let's
0:00:15.710000,0:00:16.010000,IdleClips
0:00:15.710000,0:00:16.010000,face
0:00:16.010000,0:00:16.100000,IdleClips
0:00:16.010000,0:00:16.100000,it
0:00:16.100000,0:00:17.090000,IdleClips
0:00:16.850000,0:00:17.090000,my
0:00:17.090000,0:00:17.720000,IdleClips
0:00:17.090000,0:00:17.720000,presence
0:00:17.720000,0:00:17.960000,IdleClips
0:00:17.720000,0:00:17.960000,on
0:00:17.960000,0:00:18.110000,IdleClips
0:00:17.960000,0:00:18.110000,this
0:00:18.110000,0:00:18.860000,IdleClips
0:00:18.110000,0:00:18.860000,stage
0:00:18.860000,0:00:19.160000,IdleClips
0:00:18.950000,0:00:19.160000,is
0:00:19.160000,0:00:19.400000,IdleClips
0:00:19.160000,0:00:19.400000,pretty
0:00:19.400000,0:00:19.850000,IdleClips
